1581	3099	326	1245	189	24.8	148	18.5	103	19.5	50.4	6.64	42.3	5.89	326	551	0.453329056	0.591651543	37.37588652
984	1717	170	653	94.1	14	78.1	9.2	50.4	9.9	27.9	3.75	25.5	4.15	167	290	0.499265253	0.575862069	38.58823529
1345	2408	239	873	124	22.5	97.1	10.8	54.8	10.6	27	3.49	23.6	3.75	327	317	0.626881849	1.031545741	56.99152542
1002	1777	163	568	77.8	15.9	61.4	7.11	36	7.39	19.8	2.73	19.5	3.28	302	226	0.703309972	1.336283186	51.38461538
1118	2001	197	740	108	15.4	90.2	9.89	49.4	9.42	23.6	2.94	17.9	2.99	358	274	0.477011895	1.306569343	62.45810056
1147	2029	199	741	103	17.1	86.8	9.28	48.7	9.52	24.7	3.06	20.1	3.27	297	279	0.552893228	1.064516129	57.06467662
1317	2329	229	833	115	20.4	93.8	10.8	54.7	10.2	25.9	3.39	22.2	3.48	447	299	0.600486797	1.494983278	59.32432432
1038	1773	163	571	74.6	11.2	60.6	6.69	35.4	6.79	18.4	2.61	17.3	3.22	254	224	0.509255739	1.133928571	60
1367	2431	242	895	129	22.8	98.4	11.3	57.5	10.7	28.2	3.58	22.4	3.53	447	318	0.618680001	1.405660377	61.02678571
769	1509	156	609	92.6	12.4	75.3	8.27	42.1	8.25	20.2	2.7	16.6	2.78	263	239	0.453985873	1.10041841	46.3253012
868	1548	150	547	75.6	12.9	64.1	6.83	34.3	7.03	18.6	2.52	16.4	2.98	262	208	0.566530679	1.259615385	52.92682927
1218	2103	198	705	98.2	19	79	8.74	44.7	8.81	22.8	3.12	20.1	3.26	474	263	0.659489593	1.802281369	60.59701493
1043	1800	165	565	73.3	13.1	60.1	6.77	34.6	6.87	19.3	2.71	19.5	3.47	283	226	0.603400558	1.252212389	53.48717949
1003	1746	162	576	76.8	15.1	63.6	6.94	35.9	7.37	20	2.78	19.6	3.64	277	225	0.660528277	1.231111111	51.17346939
1201	2090	202	728	105	18.4	80.7	9.12	46.7	8.69	22.7	3.22	18.2	2.96	478	256	0.611096844	1.8671875	65.98901099
1322	2312	226	819	115	21.1	90.5	10.3	53.8	10.1	26.2	3.47	23	3.4	472	308	0.632314121	1.532467532	57.47826087
105.6	302.2	47.4	255.1	66.4	38.2	74.5	9.19	52.8	11.21	33.5	4.8	39.3	7.63	570	376.4	1.66044625	1.51434644	2.687022901
178.9	497	72.5	367.7	76.4	37.86	77.6	9.47	54	12.05	34.6	5.21	40.1	7.65	613	400.3	1.503234397	1.531351486	4.461346633
163.7	448	63.8	313	61.6	28.14	58.7	7.31	41	8.98	25.8	3.84	29.5	5.58	593.9	304.3	1.430666215	1.951692409	5.549152542
210.1	598	88.3	447	97.1	40.7	95.9	12.13	69	16.1	48	7.5	55.8	10.36	585	557	1.289434024	1.0502693	3.765232975
96.8	289	44.4	239.9	57.2	25.7	59	7.78	44.5	10.04	29.6	4.44	34	6.7	554	339	1.352485875	1.634218289	2.847058824
204.7	578	84	436	92	38.86	90.4	11.11	62.3	14.05	38.5	5.93	43.9	8.21	597	447	1.302711666	1.33557047	4.662870159
19.16	65	11.98	67.9	19.5	8.88	22.89	3.18	18.02	3.91	11.88	1.858	13.36	2.542	566.3	138.9	1.28498009	4.077033837	1.434131737
112.8	343.9	53.5	276	59.6	27.61	59.6	7.4	41.9	9.32	26.17	3.91	28.3	5.53	580	297.8	1.416262584	1.94761585	3.985865724
106	300	43.8	222	45.7	23.7	45	5.53	31.2	6.54	20.2	2.73	22.4	4.37	580	229	1.597745577	2.532751092	4.732142857
61.1	174	25.7	133.1	31	14.4	30.8	3.74	21.6	4.92	15.47	1.99	16.3	3.25	584	167.4	1.424721315	3.48864994	3.748466258
394.2	942	112	465.1	66.4	20.04	55.5	5.99	30.7	6.37	16.41	2.11	13.5	2.23	597.7	185.6	1.009231555	3.220366379	29.2
330	902	126.4	617	118.5	47.4	109.8	13.59	75.6	16.54	48	7.04	52.1	9.71	608	542	1.270403353	1.121771218	6.333973129
155.7	463	69.7	373	81.8	38.6	83.8	10.66	60.6	13.48	38.7	6.07	45.3	8.67	605	449	1.42531967	1.347438753	3.437086093
126	354.2	52.5	273.9	62.4	30	65	7.98	45.3	10.14	28.44	4.36	32.6	6.14	544.8	335.1	1.44011083	1.625783348	3.865030675
206.4	560	78.1	389.2	76.8	35.9	75.3	9.09	50.9	11.14	32.3	4.63	35	6.84	606	364	1.443244747	1.664835165	5.897142857
45.1	139	22.6	126	34.6	14.3	38.8	4.8	25.2	5.04	14.5	1.9	14.8	2.88	609	175	1.193179437	3.48	3.047297297
199.8	556	79.9	397	80.3	31.3	75.2	9.21	48.8	10.64	30.1	4.51	32.7	6.35	608.7	346.3	1.23140604	1.757724516	6.110091743
124.1	348.5	51.2	260.2	55	25.66	56	6.89	38.8	8.72	25.85	3.87	29.2	5.41	585.9	295	1.41352967	1.986101695	4.25
